year,month,day,team,interceptions
2021,11,21,Dallas,31.6
2021,11,21,Buffalo,31.1
2021,11,21,Tampa Bay,31.0
2021,11,21,Arizona,28.7
2021,11,21,Tennessee,27.8
2021,11,21,New England,27.3
2021,11,21,LA Rams,27.1
2021,11,21,Indianapolis,26.8
2021,11,21,Cincinnati,26.2
2021,11,21,Kansas City,26.2
2021,11,21,Philadelphia,25.7
2021,11,21,Baltimore,25.7
2021,11,21,New Orleans,24.7
2021,11,21,Minnesota,24.6
2021,11,21,LA Chargers,24.3
2021,11,21,San Francisco,24.0
2021,11,21,Las Vegas,23.3
2021,11,21,Cleveland,23.1
2021,11,21,Green Bay,21.6
2021,11,21,Washington,20.6
2021,11,21,Carolina,20.5
2021,11,21,Seattle,20.1
2021,11,21,Denver,20.0
2021,11,21,NY Giants,19.9
2021,11,21,Pittsburgh,19.7
2021,11,21,NY Jets,17.9
2021,11,21,Atlanta,17.8
2021,11,21,Miami,17.7
2021,11,21,Detroit,16.7
2021,11,21,Chicago,16.7
2021,11,21,Jacksonville,16.6
2021,11,21,Houston,14.2
2021,11,14,Tampa Bay,32.5
2021,11,14,Arizona,30.8
2021,11,14,Dallas,30.1
2021,11,14,Buffalo,29.4
2021,11,14,LA Rams,29.0
2021,11,14,Tennessee,28.3
2021,11,14,Indianapolis,27.2
2021,11,14,Cincinnati,26.2
2021,11,14,Baltimore,25.7
2021,11,14,New England,25.6
2021,11,14,Philadelphia,25.2
2021,11,14,New Orleans,25.1
2021,11,14,Cleveland,24.9
2021,11,14,LA Chargers,24.9
2021,11,14,Kansas City,24.6
2021,11,14,Las Vegas,24.5
2021,11,14,Minnesota,24.3
2021,11,14,San Francisco,23.1
2021,11,14,Seattle,22.6
2021,11,14,Green Bay,22.1
2021,11,14,Atlanta,21.9
2021,11,14,Denver,20.8
2021,11,14,Pittsburgh,20.1
2021,11,14,NY Giants,19.9
2021,11,14,Washington,19.5
2021,11,14,Carolina,19.0
2021,11,14,NY Jets,18.0
2021,11,14,Miami,17.7
2021,11,14,Detroit,16.8
2021,11,14,Chicago,16.7
2021,11,14,Jacksonville,16.5
2021,11,14,Houston,14.2
