year,month,day,team,passing_yards
2021,11,21,Buffalo Bills,1
2021,11,21,Tampa Bay Buccaneers,2
2021,11,21,Dallas Cowboys,3
2021,11,21,New England Patriots,4
2021,11,21,Arizona Cardinals,5
2021,11,21,Kansas City Chiefs,6
2021,11,21,New Orleans Saints,7
2021,11,21,Tennessee Titans,8
2021,11,21,Green Bay Packers,9
2021,11,21,Los Angeles Rams,10
2021,11,21,Baltimore Ravens,11
2021,11,21,San Francisco 49ers,12
2021,11,21,Minnesota Vikings,13
2021,11,21,Seattle Seahawks,14
2021,11,21,Philadelphia Eagles,15
2021,11,21,Los Angeles Chargers,16
2021,11,21,Indianapolis Colts,17
2021,11,21,Cleveland Browns,18
2021,11,21,Denver Broncos,19
2021,11,21,Carolina Panthers,20
2021,11,21,Pittsburgh Steelers,21
2021,11,21,Cincinnati Bengals,22
2021,11,21,Las Vegas Raiders,23
2021,11,21,Washington Football Team,24
2021,11,21,New York Giants,25
2021,11,21,Miami Dolphins,26
2021,11,21,Chicago Bears,27
2021,11,21,Jacksonville Jaguars,28
2021,11,21,Atlanta Falcons,29
2021,11,21,Detroit Lions,30
2021,11,21,New York Jets,31
2021,11,21,Houston Texans,32
2021,11,14,Tampa Bay Buccaneers,1
2021,11,14,Arizona Cardinals,2
2021,11,14,Buffalo Bills,3
2021,11,14,Los Angeles Rams,4
2021,11,14,Tennessee Titans,5
2021,11,14,Dallas Cowboys,6
2021,11,14,New Orleans Saints,7
2021,11,14,Kansas City Chiefs,8
2021,11,14,Green Bay Packers,9
2021,11,14,New England Patriots,10
2021,11,14,Cleveland Browns,11
2021,11,14,Seattle Seahawks,12
2021,11,14,Baltimore Ravens,13
2021,11,14,Denver Broncos,14
2021,11,14,Indianapolis Colts,15
2021,11,14,Los Angeles Chargers,16
2021,11,14,Minnesota Vikings,17
2021,11,14,Pittsburgh Steelers,18
2021,11,14,San Francisco 49ers,19
2021,11,14,Philadelphia Eagles,20
2021,11,14,Las Vegas Raiders,21
2021,11,14,Cincinnati Bengals,22
2021,11,14,New York Giants,23
2021,11,14,Carolina Panthers,24
2021,11,14,Washington Football Team,25
2021,11,14,Atlanta Falcons,26
2021,11,14,Miami Dolphins,27
2021,11,14,Chicago Bears,28
2021,11,14,Jacksonville Jaguars,29
2021,11,14,New York Jets,30
2021,11,14,Detroit Lions,31
2021,11,14,Houston Texans,32
